"","IBCSplitCode","IBCCodeDescription","CleanText"
"350","5812b00","Fast food restaurant - licensed","fast food restaurant - licensed"
"351","5811b00","Fast food restaurant - not licensed","fast food restaurant -"
"352","7391a00","Fumigation / extermination operations, inside building or vessel","fumigation extermination operations, inside building or vessel"
"353","1525a00","Snow removal, clearing, plowing - driveways , sidewalks & parking lots","snow removal, clearing, plowing - driveways , sidewalks parking lots"
"354","1522a00","Fence erection contractors / dealers","fence erection contractors dealers"
"355","1521a00","Driveways, parking areas - construction of","driveways, parking areas - construction of"
"356","2081a00","Breweries, malt houses","breweries, malt houses"
"357","1526a00","Grading of land not road construction/excavation","grading of land"
"358","3293a00","Brick, clay, refractory mfg.","brick, clay, refractory manufactur."
"359","6415a00","Financial planning firms/Advisors/Investment Counselling","financial planning firms advisors investment counselling"
"360","1525x00","Snow removal, clearing, plowing - Oilfield Operations","snow removal, clearing, plowing - oilfield operations"
"361","5812d00","Fine cuisine restaurant - licensed","fine cuisine restaurant - licensed"
"362","1631a00","Public highway maintenance contractors","public highway maintenance contractors"
"363","1781a00","Fire extinguishing equipment sales, service, refilling","fire extinguishing equipment sales, service, refilling"
"364","7301b00","Fire extinguishing equipment sales, service, refilling","fire extinguishing equipment sales, service, refilling"
"365","1524a00","Irrigation or drainage systems - construction of","irrigation or drainage systems - construction of"
"366","3960a00","Broom, brush, mop manufacturing","broom, brush, mop manufacturing"
"367","5191c00","Fireworks/matches","fireworks matches"
"368","2352z00","Burlap bags, sails, cloth goods - NOC","burlap bags, sails, cloth goods - noc"
"369","1631b00","Highway, street, road construction","highway, street, road construction"
"370","5433d00","Delicatessen","delicatessen"
"371","3590c00","Can manufacturing","can manufacturing"
"372","1523a00","Sidewalks - construction","sidewalks - construction"
"373","1525b00","Snow removal, clearing, plowing - streets and roads","snow removal, clearing, plowing - streets and roads"
"374","5321a00","Department stores - excluding furs & jewels","department stores - "
"375","5322a00","Department stores - including jewelry, furs (retail)","department stores - including jewelry, furs (retail)"
"376","1528a00","Cleaning streets - not snow removal","cleaning streets -"
"377","2030b00","Canning - fruits and vegetables","canning - fruits and vegetables"
"378","5060z00","Food NOC","food noc"
"379","1631x00","Ice & snow road construction including temporary access roads","ice snow road construction including temporary access roads"
"380","5341a00","Door-to-door sales, services","door-to-door sales, services"
"381","1632a00","Airport runways, aprons - construction, including paving","airport runways, aprons - construction, including paving"
"382","6023a00","Foreign banks - not conducting general banking business","foreign banks -"
"383","8322a00","Music/dance","music dance"
"384","8323z00","Schools (NOC) / business colleges","schools (noc) business colleges"
"385","2030c00","Canning - meat, fish and seafood","canning - meat, fish and seafood"
"386","0981a00","Fish hatcheries - buildings and equipment only","fish hatcheries - buildings and equipment only"
"387","0982b00","Fishing, hunting, trapping and similar services","fishing, hunting, trapping and similar services"
"388","5513c00","Auto repair shops - not self serve - cars and trucks","auto repair shops - cars and trucks"
"389","5513b00","Auto repair shops - not self serve - trucks only","auto repair shops - trucks only"
"390","5512a00","Used car - sales only","used car - sales only"
"391","5255a00","Auto parts & accessories - retail","auto parts accessories - retail"
"392","2352c00","Canvas manufacturing","canvas manufacturing"
"393","7031b00","Fraternity & sorority (houses)","fraternity sorority (houses)"
"394","4871a00","Freight brokers/Forwarders","freight brokers forwarders"
"395","5911a00","Drug stores - prescription service only (retail)","drug stores - prescription service only (retail)"
"396","0121a00","Fruit, treenut, vegetables combined","fruit, treenut, vegetables combined"
"397","0121b00","Fruits only","fruits only"
"398","5515a00","Farm machinery / power equip. dealers","farm machinery power equip. dealers"
"399","5516a00","Trailer / camper dealers","trailer camper dealers"
"400","5912a00","Drug stores / pharmacies","drug stores pharmacies"
"401","5255b00","Auto stereo shops (sales & installation)","auto stereo shops (sales installation)"
"402","7291a00","Funeral home, mortician, undertakers","funeral home, mortician, undertakers"
"403","5511a00","Auto dealers, new & used - retail and servicing/repairs","auto dealers, new used - retail and servicing repairs"
"404","2300a00","Carpet and rug manufacturing","carpet and rug manufacturing"
"405","7543b00","Carsharing co-operatives/companies","carsharing co-operatives companies"
"406","5526a00","Car wash - self serve","car wash - self serve"
"407","5524b00","Automobile cleaning and detailing","automobile cleaning and detailing"
"408","0210a00","Fur farms - Rabbits, chinchillas, mink, fox","fur farms - rabbits, chinchillas, mink, fox"
"409","5713c00","Electrical appliance store - no installation","electrical appliance store -"
"410","5522a00","Service stations-full service (auto)","service stations-full service (auto)"
"411","5151a00","Furniture, antiques","furniture, antiques"
"412","5527a00","Automobile repair garage - self serve","automobile repair garage - self serve"
"413","8948a00","Municipal - garage or equipment storage","municipal - garage or equipment storage"
"414","4958a00","Bailed waste paper","bailed waste paper"
"415","8945a00","Municipal - road maintenance","municipal - road maintenance"
"416","8946a00","Municipal - tax collectors, secretary/treasurers - incl. school boards.","municipal - tax collectors, secretary treasurers - incl. school boards."
"417","4958b00","Bottle depots","bottle depots"
"418","8942a00","Fire departments - paid","fire departments - paid"
"419","8949a00","Municipal - administration or office building;  adoption agencies","municipal - administration or office building; adoption agencies"
"420","8947a00","Embassies & consulates","embassies consulates"
"421","5521a00","Gas bar - full serve","gas bar - full serve"
"422","5525a00","Gas bar - self serve (auto)","gas bar - self serve (auto)"
"423","3791a00","Cars, trucks, buses mfg.","cars, trucks, buses manufactur."
"424","3597x00","Cathodic Protection - Oilfield Operations","cathodic protection - oilfield operations"
"425","3291a00","Cement block manufacturing","cement block manufacturing"
"426","8941a00","Police departments (municipal)","police departments (municipal)"
"427","8072a00","Convalescent homes, nursing homes, rest homes","convalescent homes, nursing homes, rest homes"
"428","8012a00","Cosmetic surgery center (outpatient)","cosmetic surgery center (outpatient)"
"429","8083a00","Dental laboratories / denturists/technicians","dental laboratories denturists technicians"
"430","8016a00","Dentists offices","dentists offices"
"431","5717b00","Electrical Appliance store - with installation & repair","electrical appliance store - with installation repair"
"432","8026a00","Dermatologists offices","dermatologists offices"
"433","3291b00","Cement, concrete, plaster products. Not ready mix.","cement, concrete, plaster products."
"434","8080b10","Dietitians (consultant)","dietitians (consultant)"
"435","8026b00","Electrology offices (doctors)","electrology offices (doctors)"
"436","7911a00","Billiard halls, pool halls","billiard halls, pool halls"
"437","8062b00","Emergency centers (freestanding)","emergency centers (freestanding)"
"438","8010a00","Gynecologists, obstetricians","gynecologists, obstetricians"
"439","8085z00","Health maintenance organizations, social, consulting, & counselling services NOC","health maintenance organizations, social, consulting, counselling services noc"
"440","8084b00","Health, disability associations, societies (Red Cross, Cancer Society, etc.)","health, disability associations, societies (red cross, cancer society, etc.)"
"441","8027c00","Hearing aid services/Fittings & Adjustments","hearing aid services fittings adjustments"
"442","7939a00","Bingo halls","bingo halls"
"443","8080c00","Home health services","home health services"
"444","8061a00","Hospitals - general care","hospitals - general care"
"445","8062c00","Hypnosis centers","hypnosis centers"
"446","7313a00","Graphic design firms","graphic design firms"
"447","0730b00","Grass cutting (IBC Split Code applies only to Product = Farm)","grass cutting ( )"
"448","8080d00","Hypnotherapy, hypnotherapist","hypnotherapy, hypnotherapist"
"449","8082a00","Laboratories - genetic engineering and research","laboratories - genetic engineering and research"
"450","8029a00","Massage therapists (licensed)","massage therapists (licensed)"
"451","5251a00","Electrical supply store","electrical supply store"
"452","8081a00","Medical laboratories - analyzing","medical laboratories - analyzing"
"453","8082b00","Medical laboratories - research/development","medical laboratories - research development"
"454","7693c00","Gunsmith","gunsmith"
"455","8074a00","Mental health care facilities","mental health care facilities"
"456","8322b00","Gymnastics/martial arts","gymnastics martial arts"
"457","7912a00","Bowling alleys","bowling alleys"
"458","8080e00","Naturopaths","naturopaths"
"459","8080z00","Non-institutional health/medical services (NOC)","non-institutional health medical services (noc)"
"460","8085a00","Occupation health /safety consultant","occupation health safety consultant"
"461","5714a00","Electronic equipment - Retail (Home Entertainment, Computers, Office Equipment) - No installation or repairs","electronic equipment - retail (home entertainment, computers, office equipment) -"
"462","8014a00","Oculists, ophthalmologists","oculists, ophthalmologists"
"463","8023a00","Opticians","opticians"
"464","8022a00","Optometrists offices","optometrists offices"
"465","1716a00","Heating / air conditioning - solid fuel installation","heating air conditioning - solid fuel installation"
"466","8024a00","Osteopaths","osteopaths"
"467","8011a00","Physicians, surgeons, doctors - not specialists in surgery","physicians, surgeons, doctors -"
"468","8018a00","Physiotherapists, occupational therapists","physiotherapists, occupational therapists"
"469","1715b00","Heating and Cooling - Geothermal Energy","heating and cooling - geothermal energy"
"470","1715x00","Heating Equipment, including Heat Exchangers - Installation, Maintenance, Rental, Service or Repair - Oilfield Operations","heating equipment, including heat exchangers - installation, maintenance, rental, service or repair - oilfield operations"
"471","8084c00","Plasmapheresis centers","plasmapheresis centers"
"472","1715a00","Heating/ air conditioning - oil or gas installation","heating air conditioning - oil or gas installation"
"473","8013a00","Psychiatrists","psychiatrists"
"474","8080f00","Psychologists","psychologists"
"475","8015a00","Radiation specialists (x-ray, infra-red) - a clinic for diagnostics","radiation specialists (x-ray, infra-red) - a clinic for diagnostics"
"476","8064a00","Radioisotope exposure","radioisotope exposure"
"477","8017a00","Registered nurses","registered nurses"
"478","0170a00","Hog farms","hog farms"
"479","8076a00","Rehabilitation facility - physical restoration","rehabilitation facility - physical restoration"
"480","8076b00","Rehabilitation facility - substance abuse","rehabilitation facility - substance abuse"
"481","7031a00","Boarding / rooming houses","boarding rooming houses"
"482","7043a00","Resort property","resort property"
"483","8065a00","Residences - nurses a/o hospital staff","residences - nurses a o hospital staff"
"484","7044a00","Mobile home parks - permanent","mobile home parks - permanent"
"485","0140a00","Horse farms - breeders","horse farms - breeders"
"486","7041b00","Dude Ranches","dude ranches"
"487","8644a00","Civic,community, special interest (non-medical) associations or groups","civic,community, special interest (non-medical) associations or groups"
"488","0141a10","Horse farms including boarding.  No breeding.","horse farms including boarding. "
"489","8643a00","Community halls / centres","community halls centres"
"490","8641a00","Boy scouts, girl guides - similar groups","boy scouts, girl guides - similar groups"
"491","5718a00","Electronic equipment - Retail (Home Entertainment, Computers, Office Equipment) - With installation or repairs","electronic equipment - retail (home entertainment, computers, office equipment) - with installation or repairs"
"492","7021a00","Hotels - seasonal - licensed","hotels - seasonal - licensed"
"493","7022a00","Hotels - seasonal - not licensed","hotels - seasonal -"
"494","8642a00","YMCA / YWCA / YMHA / YWHA","ymca ywca ymha ywha"
"495","7011a00","Hotels - year round - licensed","hotels - year round - licensed"
"496","7012a00","Hotels - year round - unlicensed","hotels - year round - unlicensed"
"497","0142a00","Agricultural assns (grazing co-operatives, breeders, racing growers, 4H clubs, etc.)","agricultural assns (grazing co-operatives, breeders, racing growers, 4h clubs, etc.)"
"498","1756a00","House furnishings, ceilings, floor coverings installation","house furnishings, ceilings, floor coverings installation"
"499","8620a00","Professional and business associations","professional and business associations"
"500","8630a00","Labour unions","labour unions"
"501","8673a00","Fund raising activities operated by charitable or religious bodies","fund raising activities operated by charitable or religious bodies"
"502","2011a00","Cheese manufacturing","cheese manufacturing"
"503","8660a00","Service clubs, fraternal orders - no insurance, benefit paying","service clubs, fraternal orders - benefit paying"
"504","8650a00","Service clubs, fraternal orders - insurance, benefit paying","service clubs, fraternal orders - insurance, benefit paying"
"505","8672a00","Convents, monasteries","convents, monasteries"
"506","4277a00","Electronic media storage (warehouse)","electronic media storage (warehouse)"
"507","8661a00","Snowmobile clubs","snowmobile clubs"
"508","2877z00","Chemicals NOC - high hazard","chemicals noc - high hazard"
"509","7417a00","Equipment storage","equipment storage"
"510","2875z00","Chemicals NOC - low hazard","chemicals noc - low hazard"
"511","2876z00","Chemicals NOC - mod. hazard","chemicals noc - mod. hazard"
"512","3281a00","China, ceramics, porcelain mfg (Statuary, ornaments)","china, ceramics, porcelain manufactur (statuary, ornaments)"
"513","2052b00","Chip (potato) manufacturing","chip (potato) manufacturing"
"514","2052c00","Chocolate and cocoa mfg.","chocolate and cocoa manufactur."
"515","3871a00","Clock manufacturing","clock manufacturing"
"516","2982a00","Coal billets, briquettes, coke mfg.","coal billets, briquettes, coke manufactur."
"517","2750b00","Commercial book binding mfg.","commercial book binding manufactur."
"518","8080g00","Respiratory Therapists","respiratory therapists"
"519","3494z00","Communications Equipment NOC, excl media","communications equipment noc, "
"520","3072a00","Compact disk manufacturing","compact disk manufacturing"
"521","3493a00","Computer systems large or mainframe - incl. tapes drives etc.","computer systems large or mainframe - incl. tapes drives etc."
"522","1753a00","Insulation contractors - excluding removal of hazardous material","insulation contractors - "
"523","3064a00","Condom manufacturing","condom manufacturing"
"524","2052z00","Confectionery manufacturing","confectionery manufacturing"
"525","2832a00","Cosmetics, perfume, hair/skin preparations","cosmetics, perfume, hair skin preparations"
"526","1782e00","Insulation Removal Hazardous material","insulation removal hazardous material"
"527","6412b00","Insurance adjuster - independent/public","insurance adjuster - independent public"
"528","6412a00","Insurance agents and brokers","insurance agents and brokers"
"529","1757a00","Interior decorators/designers","interior decorators designers"
"530","8918b00","Internet service providers","internet service providers"
"531","3872a00","Costume, novelty jewelry mfg.","costume, novelty jewelry manufactur."
"532","3590d00","Cutlery manufacturing","cutlery manufacturing"
"533","2011c00","Dairy products - incl. eggs honey, creameries","dairy products - incl. eggs honey, creameries"
"534","2750c00","Demonstrative evidence firms - printing & film","demonstrative evidence firms - printing film"
"535","3827a00","Dental, hospital and surgical supplies - expendable, Mfg.","dental, hospital and surgical supplies - expendable, mfg."
"536","3828a00","Dental, hospital and surgical supplies - non expendable, Mfg.","dental, hospital and surgical supplies - non expendable, mfg."
"537","3829a00","Dental, hospital and surgical supplies-instruments mfg.","dental, hospital and surgical supplies-instruments manufactur."
"538","2070a00","Distilleries (alcohol mfg.)","distilleries (alcohol manufactur.)"
"539","7403c00","Investigation agencies/Private Investigator","investigation agencies private investigator"
"540","3073d00","Doors & windows - excluding wood and metal","doors windows - "
"541","8950a00","Jails / correctional centres / prisons, penal institutions","jails correctional centres prisons, penal institutions"
"542","7394a00","Janitorial service","janitorial service"
"543","3590l00","Doors & windows - metal","doors windows - metal"
"544","2592a00","Down and feather products mfg.","down and feather products manufactur."
"545","7416a00","Equipment rentals stores","equipment rentals stores"
"546","3824a00","Drafting, engineering, machinist, surveying","drafting, engineering, machinist, surveying"
"547","2351a00","Draperies, tapestries","draperies, tapestries"
"548","0738a00","Kennels and boarding, pet sitting, walking or grooming services with training activities. Animal training services, therapy dog services and  animal behavioral / psychiatric con","kennels and boarding, pet sitting, walking or grooming services with training activities. animal training services, therapy dog services and animal behavioral psychiatric con"
"549","2833a00","Drugs, pharmaceuticals, patent medicines","drugs, pharmaceuticals, patent medicines"
"550","0738b00","Kennels and boarding, pet sitting, walking, grooming - no training activities.  Pet excrement removal services.","kennels and boarding, pet sitting, walking, grooming -"
"551","8085a10","Safety Consultants - Oilfield Operations","safety consultants - oilfield operations"
"552","2820c00","Drum and barrel mfg. - plastic, synthetic resins or fibres","drum and barrel manufactur. - plastic, synthetic resins or fibres"
"553","2812a00","Dry ice manufacturing","dry ice manufacturing"
"554","3570c00","Electrical industrial apparatus, relays and industrial controls","electrical industrial apparatus, relays and industrial controls"
"555","3570z00","Electrical machinery, equipment and supplies NOC","electrical machinery, equipment and supplies noc"
"556","3571a00","Electrical products for application to body","electrical products for application to body"
"557","3495a00","Electronic components & semiconductor manufacturing","electronic components semiconductor manufacturing"
"558","3496a00","Electronic games","electronic games"
"559","3597a00","Electroplating","electroplating"
"560","3693a00","Elevators, escalators","elevators, escalators"
"561","8912a00","Land Surveyors","land surveyors"
"562","2633a00","Envelope, stationery manufacturing","envelope, stationery manufacturing"
"563","3970a00","Excelsior mfg.","excelsior manufactur."
"564","2850a00","Explosives, ammunition mfg.","explosives, ammunition manufactur."
"565","2291a00","Fabric & textile mills","fabric textile mills"
"566","2044b00","Feed mills","feed mills"
"567","2850b00","Fertilizer manufacturing","fertilizer manufacturing"
"568","7221a00","Laundries, drycleaners - receiving depot only","laundries, drycleaners - receiving depot only"
"569","7210a00","Laundry & dry cleaning, self serve","laundry dry cleaning, self serve"
"570","2820a00","Fiberglass products manufacturing","fiberglass products manufacturing"
"571","3072b00","Film, photographic, x-ray, etc. mfg.","film, photographic, x-ray, etc. manufactur."
"572","3982a00","Firearms manufacturing","firearms manufacturing"
"573","2860a00","Fireworks and match mfg. - excluding fireworks displays","fireworks and match manufactur. - "
"574","7222a00","Laundry and dry-cleaning stores","laundry and dry-cleaning stores"
"575","2021a00","Fish & seafood freezing ops. (mfg.)","fish seafood freezing ops. (manufactur.)"
"576","8111b00","Lawyers/barristers/solicitors","lawyers barristers solicitors"
"577","2003a00","Fish & seafood processing (fresh)","fish seafood processing (fresh)"
"578","3593x00","Flare stacks, Incinerators, Dehydrators, Separators, Flame Arrestors Mfg - Oilfield Operations","flare stacks, incinerators, dehydrators, separators, flame arrestors mfg - oilfield operations"
"579","2832b00","Flavoring and fragrance mfg.","flavoring and fragrance manufactur."
"580","8291a00","Libraries","libraries"
"581","2044c00","Flour mills (mfg.)","flour mills (manufactur.)"
"582","3193a00","Footwear manufacturing","footwear manufacturing"
"583","3320a00","Foundries - ferrous","foundries - ferrous"
"584","4115b00","Limousine services","limousine services"
"585","5712a00","Fabric store - No installation or repairs off premises","fabric store -"
"586","7693a00","Locksmiths","locksmiths"
"587","3360c00","Foundries - non-ferrous","foundries - non-ferrous"
"588","2021b00","Frozen food plants (mfg.) - Excluding fish & seafood","frozen food plants (manufactur.) - "
"589","0791a00","Logging, lumbering ops. (woods ops.)","logging, lumbering ops. (woods ops.)"
"590","2082c00","Fruit juice manufacturing","fruit juice manufacturing"
"591","2331a00","Fur / pelts garment manufacturing","fur pelts garment manufacturing"
"592","2812b00","Gases - incombustible industrial (argon, helium, CO2) mfg.","gases - incombustible industrial (argon, helium, co2) manufactur."
"593","2813a00","Gases, other than incombustible industrial","gases, otherthanincombustible industrial"
"594","3590e00","Gear manufacturing","gear manufacturing"
"595","3282a00","Glassblowing operations","glassblowing operations"
"596","3282b00","Glassware manufacturing","glassware manufacturing"
"597","2311a00","Gloves, hats, underwear, beachwear, accessories - men's & boy's","gloves, hats, underwear, beachwear, accessories - men's boy's"
"598","2332a00","Gloves, millinery, lingerie, beachwear, accessories - women & girls","gloves, millinery, lingerie, beachwear, accessories - women girls"
"599","2043a00","Grain, grain products for human consumption - incl. flour, cereal","grain, grain products for human consumption - incl. flour, cereal"
"600","2042a00","Grain, grain products for human consumption - incl. flour, cereal","grain, grain products for human consumption - incl. flour, cereal"
"601","3593a00","Heating apparatus mfg.","heating apparatus manufactur."
"602","3572a00","Heating equipment - electrical mfg.","heating equipment - electrical manufactur."
"603","5693a00","Family clothing stores","family clothing stores"
"604","6414a00","Management consulting firms","management consulting firms"
"605","5212a00","Marble, decorative stone, monuments, clay","marble, decorative stone, monuments, clay"
"606","3690z00","Heavy metal products NOC","heavy metal products noc"
"607","2833b00","Herbal products for ingestion and food supplements","herbal products for ingestion and food supplements"
"608","2330a00","Hosiery manufacturing","hosiery manufacturing"
"609","4474a00","Marinas / Boat rentals - Unpowered Boats, rowboats, canoes, skiffs, dinghies.","marinas boat rentals - unpowered boats, rowboats, canoes, skiffs, dinghies."
"610","3573a00","Household appliances, vending machines mfg.","household appliances, vending machines manufactur."
"611","4476a00","Marinas / Boat rentals, inboard motor boats, cabin cruisers","marinas boat rentals, inboard motor boats, cabin cruisers"
"612","4475a00","Marinas / Boat rentals, outboard motor boats","marinas boat rentals, outboard motor boats"
"613","4478a00","Marinas / Boat rentals, rafts, floats","marinas boat rentals, rafts, floats"
"614","3594a00","Housewares - excluding cutlery mfg.","housewares - "
"615","4477a00","Marinas / Boat rentals, sailboat, other than dinghies","marinas boat rentals, sailboat, otherthandinghies"
"616","2011b00","Ice cream and frozen dessert mfg.","ice cream and frozen dessert manufactur."
"617","2022a00","Ice manufacturers and distributors","ice manufacturers and distributors"
"618","4473a00","Marinas / boat repairs ( no boat rentals)","marinas boat repairs ("
"619","2820b00","Insulating material mfg.","insulating material manufactur."
"620","2030d00","Jam and jelly manufacturing.","jam and jelly manufacturing."
"621","3873a00","Jewellery, watches, precious stones, silversmiths, gold/silver platers (no property)","jewellery, watches, precious stones, silversmiths, gold silver platers "
"622","3590m00","Ladder Manufacturer - metal","ladder manufacturer - metal"
"623","2492c00","Ladder Manufacturer - wood","ladder manufacturer - wood"
"624","8911a00","Marine appraiser/Survey/Adjuster","marine appraiser survey adjuster"
"625","3570a00","Lamp manufacturing - electric - including light bulb and tubes","lamp manufacturing - electric - including light bulb and tubes"
"626","5103a00","Marine supplies","marine supplies"
"627","3192a00","Leather goods mfg. (not shoes)","leather goods manufactur. "
"628","2750d00","Lithography","lithography"
"629","5107a00","Marine supplies - manufacturer's agents. Sample stock only","marine supplies - manufacturer's agents. sample stock only"
"630","3590f00","Machine shops ( no off-premises welding)","machine shops ("
"631","5931a00","Firearm stores","firearm stores"
"632","3590x00","Machine shops, metal fabricator (no off-premises welding) - Oilfield Operations","machine shops, metal fabricator oilfield operations"
"633","3695z00","Machinery, NOC","machinery, noc"
"634","2710a00","Magazine and periodical publishing & printing","magazine and periodical publishing printing"
"635","2592b00","Mattress and box spring mfg.","mattress and box spring manufactur."
"636","1773a00","Marine wrecking or demolition contractors","marine wrecking or demolition contractors"
"637","7312b00","Marketing Consultants / Research Firms","marketing consultants research firms"
"638","2100a00","Meat / poultry rendering, fish oil, fish meal mfg","meat poultry rendering, fish oil, fish meal manufactur"
"639","2001a00","Meat packing - not stockyards, excl frozen foods- no rendering","meat packing - "
"640","8085x00","Safety Services - Oilfield Operations","safety services - oilfield operations"
"641","2001b00","Meat packing - not stockyards, excl frozen foods- with rendering","meat packing - "
"642","2002a00","Meat packing - with stockyards, excl frozen foods, no rendering","meat packing - with stockyards, "
"643","2002b00","Meat packing - with stockyards, excl frozen foods, with rendering","meat packing - with stockyards, "
"644","2310a00","Men's and Boy's wear, excluding accessories & Fur","men's and boy's wear, "
"645","3592a00","Metal furniture - not upholstered mfg. - not for baby and children","metal furniture -"
"646","3592b00","Metal furniture - not upholstered mfg. ; baby/children","metal furniture - baby children"
"647","3590z00","Metal products (Light) NOC","metal products (light) noc"
"648","5062a00","Meat / fish / seafood / poultry","meat fish seafood poultry"
"649","2981a00","Mineral oil, petrochemical, lubricants, incl. asphalt, tar refining","mineral oil, petrochemical, lubricants, incl. asphalt, tar refining"
"650","3282c00","Mirror manufacturing","mirror manufacturing"
"651","5433g00","Fish and seafood dealers (retail)","fish and seafood dealers (retail)"
"652","3792a00","Motorcycles, mopeds, snow vehicles mfg.","motorcycles, mopeds, snow vehicles manufactur."
"653","2850c00","Munitions manufacturing","munitions manufacturing"
"654","3590g00","Nail manufacturing","nail manufacturing"
"655","3071a00","Neon sign manufacturers","neon sign manufacturers"
"656","2710b00","Newspaper publishing & printing","newspaper publishing printing"
"657","2090a00","Oil, fat mfg., refining (animal or vegetable) incl. tank farm, animal reduction, lard","oil, fat manufactur., refining (animal or vegetable) incl. tank farm, animal reduction, lard"
"658","3822a00","Optical (contact lens, binoculars eyeglasses, microscopes) mfg.","optical (contact lens, binoculars eyeglasses, microscopes) manufactur."
"659","3590h00","Ornamental metalworking","ornamental metalworking"
"660","2815a00","Paint and lacquer manufacturing","paint and lacquer manufacturing"
"661","2631a00","Paper converting","paper converting"
"662","2632a00","Paper products (bags, boxes, containers)","paper products (bags, boxes, containers)"
"663","2051b00","Pasta, macaroni manufacturing","pasta, macaroni manufacturing"
"664","3492a00","Personal computers, business machines, calculators","personal computers, business machines, calculators"
"665","2814a00","Pesticide, herbicide, insecticide mfg.","pesticide, herbicide, insecticide manufactur."
"666","2041a00","Pet food manufacturing","pet food manufacturing"
"667","2981b00","Petroleum refineries","petroleum refineries"
"668","2750e00","Photoengraving mfg.","photoengraving manufactur."
"669","3821a00","Photographic (cameras, enlargers, etc..) mfg. - excl. film, chemical mfg.","photographic (cameras, enlargers, etc..) manufactur. - "
"670","2030e00","Pickle processing plants","pickle processing plants"
"671","3073a00","Plastic, bone, celluloid & shell products, excl signs, film, recording media, CD's","plastic, bone, celluloid shell products, "
"672","3073z00","Plastics - NOC","plastics - noc"
"673","8075a00","Sanitariums","sanitariums"
"674","8073a00","Senior citizen care facilities","senior citizen care facilities"
"675","3073b00","Plastics mfg. - mold, form &/o extrude","plastics manufactur. - mold, form o extrude"
"676","2820z00","Plastics, synthetic resins & fibres NOC. ( Nylon, Rayon, Art's Silk)","plastics, synthetic resins fibres noc. ( nylon, rayon, art's silk)"
"677","3595a00","Plumbing supplies mfg.","plumbing supplies manufactur."
"678","2420a00","Plywood manufacturing","plywood manufacturing"
"679","3281b00","Pottery mfg. - household & industrial","pottery manufactur. - household industrial"
"680","2001c00","Poultry processing","poultry processing"
"681","5123a00","Metal, scrap - processors (except autos)","metal, scrap - processors (except autos)"
"682","1536x00","Millwright, Heavy Duty Mechanic - Oilfield Operations","millwright, heavy duty mechanic - oilfield operations"
"683","1536a00","Millwright, Heavy Duty Mechanic (not oilfield)","millwright, heavy duty mechanic "
"684","3294a00","Precast concrete for construction (Beams or supports)","precast concrete for construction (beams or supports)"
"685","7032a00","Mission, settlement houses, family shelters, halfway houses","mission, settlement houses, family shelters, halfway houses"
"686","3820z00","Precision equipment NOC","precision equipment noc"
"687","2816a00","Printers ink, aniline dyes & pigments","printers ink, aniline dyes pigments"
"688","2750f00","Printing - commercial","printing - commercial"
"689","0190z90","Mixed farms ( small exposures )","mixed farms ( small exposures )"
"690","3825a00","Prosthetic, orthopedic, ambulation devices other than optical mfg.","prosthetic, orthopedic, ambulation devices otherthanoptical manufactur."
"691","5813b20","Mobile Concession - motorized vehicle and/or trailer at semi-permanent or permanent site","mobile concession - motorized vehicle and or trailer at semi-permanent or permanent site"
"692","2620a00","Pulp and paper mills mfg.","pulp and paper mills manufactur."
"693","5813b10","Mobile Concession, Food Truck","mobile concession, food truck"
"694","3491a00","Radio / television / audio visual equipment mfg.","radio television audio visual equipment manufactur."
"695","7410a00","Modeling schools","modeling schools"
"696","2817a00","Radioactive isotopes mfg.","radioactive isotopes manufactur."
"697","6413a00","Mortgage brokers, loan correspondents","mortgage brokers, loan correspondents"
"698","3799a00","Railway rolling stock - incl. locomotives","railway rolling stock - incl. locomotives"
"699","7063a00","Motels - / tourist courts - seasonal - not licensed , no food","motels - tourist courts - seasonal -"
"700","7053a00","Motels - / tourist courts - year round - not licensed, no food","motels - tourist courts - year round -"
"701","7062a00","Motels / tourist courts - seasonal - not licensed, with food","motels tourist courts - seasonal - with food"
"702","7061a00","Motels / tourist courts - seasonal, licensed with food","motels tourist courts - seasonal, licensed with food"
"703","3292a00","Ready-mix concrete","ready-mix concrete"
"704","7052a00","Motels / tourist courts - year round - not licensed with food","motels tourist courts - year round -"
"705","3980z00","Recreational products  - NOC; pictures, notions, musical instr. artificial flowers mfg.","recreational products - noc; pictures, notions, musical instr. artificial flowers manufactur."
"706","3574a00","Refrigeration equipment - industrial mfg.","refrigeration equipment - industrial manufactur."
"707","2352d00","Ribbon manufacturing","ribbon manufacturing"
"708","2495a00","Roof timbers - mfg.","roof timbers - manufactur."
"709","2352e00","Rope manufacturing","rope manufacturing"
"710","3066a00","Rubber products mfg. - excl. Tires & tubes - high combustibility, rapid burning","rubber products manufactur. - high combustibility, rapid burning"
"711","3065a00","Rubber products mfg. - excl. Tires & tubes - medium combustibility, free burning","rubber products manufactur. - medium combustibility, free burning"
"712","3064b00","Rubber products mfg., excluding tires & tubes, low combustibility","rubber products manufactur., "
"713","7051a00","Motels / tourist courts - year round , licensed with food","motels tourist courts - year round , licensed with food"
"714","3062a00","Rubber reclaiming","rubber reclaiming"
"715","5514b00","Motorcycle sales and service (high end shops)","motorcycle sales and service (high end shops)"
"716","2420b00","Sawmills and planing mills","sawmills and planing mills"
"717","5514a00","Motorcycle/ATV/snowmobile sales and service","motorcycle atv snowmobile sales and service"
